Date,Open,High,Low,Close,Adj Close,Volume,Day
2019-12-30,72.364998,73.172501,71.305,72.879997,71.398895,144114400,1230
2019-12-31,72.482498,73.419998,72.379997,73.412498,71.920563,100805600,1231
2020-01-02,74.059998,75.150002,73.797501,75.087502,73.561546,135480400,1232
2020-01-03,74.287498,75.144997,74.125,74.357498,72.846382,146322800,1233
2020-01-06,73.447502,74.989998,73.1875,74.949997,73.426842,118387200,1234
2020-01-07,74.959999,75.224998,74.370003,74.597504,73.081505,108872000,1235
2020-01-08,74.290001,76.110001,74.290001,75.797501,74.257095,132079200,1236
2020-01-09,76.809998,77.607498,76.550003,77.407501,75.834389,170108400,1237
2020-01-10,77.650002,78.167503,77.0625,77.582497,76.005829,140644800,1238
2020-01-13,77.910004,79.267502,77.787498,79.239998,77.629639,121532000,1239
2020-01-14,79.175003,79.392502,78.042503,78.169998,76.58139,161954400,1240
2020-01-15,77.962502,78.875,77.387497,77.834999,76.253212,121923600,1241
2020-01-16,78.397499,78.925003,78.022499,78.809998,77.208382,108829200,1242
2020-01-17,79.067497,79.684998,78.75,79.682503,78.063148,137816400,1243
2020-01-21,79.297501,79.754997,79,79.142502,77.534134,110843200,1244
2020-01-22,79.644997,79.997498,79.327499,79.425003,77.810898,101832400,1245
2020-01-23,79.480003,79.889999,78.912498,79.807503,78.185616,104472000,1246
2020-01-24,80.0625,80.832497,79.379997,79.577499,77.960281,146537600,1247
2020-01-27,77.514999,77.942497,76.220001,77.237503,75.667847,161940000,1248
2020-01-28,78.150002,79.599998,78.047501,79.422501,77.808441,162234000,1249
2020-01-29,81.112503,81.962502,80.345001,81.084999,79.437149,216229200,1250
2020-01-30,80.135002,81.022499,79.6875,80.967499,79.322044,126743200,1251
2020-01-31,80.232498,80.669998,77.072502,77.377502,75.805008,199588400,1252
2020-02-03,76.074997,78.372498,75.555,77.165001,75.596817,173788400,1253
2020-02-04,78.827499,79.910004,78.407501,79.712502,78.092552,136616400,1254
2020-02-05,80.879997,81.190002,79.737503,80.362503,78.729347,118826800,1255
2020-02-06,80.642502,81.305,80.065002,81.302498,79.65023,105425600,1256
2020-02-07,80.592499,80.849998,79.5,80.0075,78.567566,117684000,1257
2020-02-10,78.544998,80.387497,78.462502,80.387497,78.94072,109348800,1258
2020-02-11,80.900002,80.974998,79.677498,79.902496,78.464455,94323200,1259
2020-02-12,80.3675,81.805,80.3675,81.800003,80.327812,113730400,1260
2020-02-13,81.047501,81.555,80.837502,81.217499,79.755806,94747600,1261
2020-02-14,81.184998,81.495003,80.712502,81.237503,79.775429,80113600,1262
2020-02-18,78.839996,79.9375,78.652496,79.75,78.314713,152531200,1263
2020-02-19,80,81.142502,80,80.904999,79.448914,93984000,1264
2020-02-20,80.657501,81.162498,79.552498,80.074997,78.63385,100566000,1265
2020-02-21,79.654999,80.112503,77.625,78.262497,76.853973,129554000,1266
2020-02-24,74.315002,76.044998,72.307503,74.544998,73.203384,222195200,1267
2020-02-25,75.237503,75.6325,71.532501,72.019997,70.723816,230673600,1268
2020-02-26,71.6325,74.470001,71.625,73.162498,71.845749,198054800,1269
2020-02-27,70.275002,71.5,68.239998,68.379997,67.149323,320605600,1270
2020-02-28,64.315002,69.602501,64.092499,68.339996,67.110046,426510000,1271
2020-03-02,70.57,75.360001,69.43,74.702499,73.35804,341397200,1272
2020-03-03,75.917503,76,71.449997,72.330002,71.028244,319475600,1273
2020-03-04,74.110001,75.849998,73.282501,75.684998,74.322853,219178400,1274
2020-03-05,73.879997,74.887497,72.852501,73.230003,71.912041,187572800,1275
2020-03-06,70.5,72.705002,70.307503,72.2575,70.957039,226176800,1276
2020-03-09,65.9375,69.522499,65.75,66.542503,65.344902,286744800,1277
2020-03-10,69.285004,71.610001,67.342499,71.334999,70.051163,285290000,1278
2020-03-11,69.347504,70.305,67.964996,68.857498,67.618233,255598800,1279
2020-03-12,63.985001,67.5,62,62.057499,60.940628,418474000,1280
2020-03-13,66.222504,69.980003,63.237499,69.4925,68.241829,370732000,1281
2020-03-16,60.487499,64.769997,60,60.552502,59.462711,322423600,1282
2020-03-17,61.877499,64.402496,59.599998,63.215,62.077297,324056000,1283
2020-03-18,59.942501,62.5,59.279999,61.6675,60.55764,300233600,1284
2020-03-19,61.8475,63.209999,60.6525,61.195,60.093651,271857200,1285
2020-03-20,61.794998,62.9575,57,57.310001,56.278568,401693200,1286
2020-03-23,57.02,57.125,53.1525,56.092499,55.082973,336752800,1287
2020-03-24,59.09,61.922501,58.575001,61.720001,60.609196,287531200,1288
2020-03-25,62.6875,64.5625,61.075001,61.380001,60.275322,303602000,1289
2020-03-26,61.630001,64.669998,61.59,64.610001,63.447186,252087200,1290
2020-03-27,63.1875,63.967499,61.762501,61.935001,60.820332,204216800,1291
2020-03-30,62.685001,63.880001,62.349998,63.702499,62.556019,167976400,1292
2020-03-31,63.900002,65.622498,63,63.572498,62.42836,197002000,1293
2020-04-01,61.625,62.18,59.782501,60.227501,59.143559,176218400,1294
2020-04-02,60.084999,61.287498,59.224998,61.232498,60.13047,165934000,1295
2020-04-03,60.700001,61.424999,59.7425,60.352501,59.2663,129880000,1296
2020-04-06,62.724998,65.777496,62.345001,65.6175,64.436546,201820400,1297
2020-04-07,67.699997,67.925003,64.75,64.857498,63.690231,202887200,1298
2020-04-08,65.684998,66.842499,65.307503,66.517502,65.320351,168895200,1299
2020-04-09,67.175003,67.517502,66.175003,66.997498,65.791718,161834800,1300
2020-04-13,67.077499,68.425003,66.457497,68.3125,67.083054,131022800,1301
2020-04-14,70,72.0625,69.512497,71.762497,70.470947,194994800,1302
2020-04-15,70.599998,71.582497,70.157501,71.107498,69.827759,131154400,1303
2020-04-16,71.845001,72.050003,70.587502,71.672501,70.382584,157125200,1304
2020-04-17,71.172501,71.737503,69.214996,70.699997,69.427574,215250000,1305
2020-04-20,69.487503,70.419998,69.212502,69.232498,67.986504,130015200,1306
2020-04-21,69.07,69.3125,66.357498,67.092499,65.884987,180991600,1307
2020-04-22,68.402496,69.474998,68.050003,69.025002,67.782722,116862400,1308
2020-04-23,68.967499,70.4375,68.717499,68.7575,67.520042,124814400,1309
2020-04-24,69.300003,70.752502,69.25,70.7425,69.46933,126161200,1310
2020-04-27,70.449997,71.135002,69.987503,70.792503,69.518425,117087600,1311
2020-04-28,71.269997,71.457497,69.550003,69.644997,68.391571,112004800,1312
2020-04-29,71.182503,72.417503,70.972504,71.932503,70.637909,137280800,1313
2020-04-30,72.489998,73.6325,72.087502,73.449997,72.12809,183064000,1314
2020-05-01,71.5625,74.75,71.462502,72.267502,70.966881,240616800,1315
2020-05-04,72.292503,73.422501,71.580002,73.290001,71.970963,133568000,1316
2020-05-05,73.764999,75.25,73.614998,74.389999,73.05117,147751200,1317
2020-05-06,75.114998,75.809998,74.717499,75.157501,73.804848,142333600,1318
2020-05-07,75.805,76.292503,75.4925,75.934998,74.568359,115215200,1319
2020-05-08,76.410004,77.587502,76.072502,77.532501,76.343208,133838400,1320
2020-05-11,77.025002,79.262497,76.809998,78.752502,77.544502,145946400,1321
2020-05-12,79.457497,79.922501,77.727501,77.852501,76.65831,162301200,1322
2020-05-13,78.037498,78.987503,75.802498,76.912498,75.732735,200622400,1323
2020-05-14,76.127502,77.447502,75.3825,77.385002,76.197975,158929200,1324
2020-05-15,75.087502,76.974998,75.052498,76.927498,75.747498,166348400,1325
2020-05-18,78.292503,79.125,77.580002,78.739998,77.532196,135178400,1326
2020-05-19,78.7575,79.629997,78.252502,78.285004,77.084175,101729600,1327
2020-05-20,79.169998,79.879997,79.129997,79.807503,78.583321,111504800,1328
2020-05-21,79.665001,80.222504,78.967499,79.212502,77.997437,102688800,1329
2020-05-22,78.942497,79.807503,78.837502,79.722504,78.499634,81803200,1330
2020-05-26,80.875,81.059998,79.125,79.182503,77.967911,125522000,1331
2020-05-27,79.035004,79.677498,78.272499,79.527496,78.30761,112945200,1332
2020-05-28,79.192497,80.860001,78.907501,79.5625,78.342079,133560800,1333
2020-05-29,79.8125,80.287498,79.1175,79.485001,78.26577,153532400,1334
2020-06-01,79.4375,80.587502,79.302498,80.462502,79.228271,80791200,1335
2020-06-02,80.1875,80.860001,79.732498,80.834999,79.595055,87642800,1336
2020-06-03,81.165001,81.550003,80.574997,81.279999,80.033226,104491200,1337
2020-06-04,81.097504,81.404999,80.195,80.580002,79.343979,87560400,1338
2020-06-05,80.837502,82.9375,80.807503,82.875,81.603767,137250400,1339
2020-06-08,82.5625,83.400002,81.830002,83.364998,82.086266,95654400,1340
2020-06-09,83.035004,86.402496,83.002502,85.997498,84.678375,147712400,1341
2020-06-10,86.974998,88.692497,86.522499,88.209999,86.856941,166651600,1342
2020-06-11,87.327499,87.764999,83.870003,83.974998,82.686897,201662400,1343
2020-06-12,86.18,86.949997,83.555,84.699997,83.400772,200146000,1344
2020-06-15,83.3125,86.419998,83.144997,85.747498,84.432205,138808800,1345
2020-06-16,87.864998,88.300003,86.18,88.019997,86.669838,165428800,1346
2020-06-17,88.787498,88.849998,87.772499,87.897499,86.549217,114406400,1347
2020-06-18,87.852501,88.362503,87.305,87.932503,86.583694,96820400,1348
2020-06-19,88.660004,89.139999,86.287498,87.43,86.088905,264476000,1349
2020-06-22,87.834999,89.864998,87.787498,89.717499,88.341324,135445200,1350
2020-06-23,91,93.095001,90.567497,91.6325,90.226936,212155600,1351
2020-06-24,91.25,92.197502,89.629997,90.014999,88.634254,192623200,1352
2020-06-25,90.175003,91.25,89.392502,91.209999,89.810913,137522400,1353
2020-06-26,91.102501,91.330002,88.254997,88.407501,87.051399,205256800,1354
2020-06-29,88.3125,90.542503,87.82,90.445,89.057655,130646000,1355
2020-06-30,90.019997,91.495003,90,91.199997,89.801064,140223200,1356
